City;Region;Country;AirQuality;WaterPollution;ph;Hardness;Solids;Chloramines;Sulfate;Conductivity;Organic_carbon;Trihalomethanes;Turbidity;Potability
Kakamega;;Kenya;100;75;5.057.736.411.358.970;13.768.934.356.534.100;11.229.137.777.081.400;6.411.410.462.619.050;48.103.064.230.599.700;5.800.952.245.647.600;15.390.304.366.955.600;438.825.144.491.407;3.163.935.937.469.410;1
Middletown;New York;United States of America;100;25;6.908.272.154.356.680;21.110.555.110.633.700;1.922.498.628.010.970;6.379.970.101.156.270;3.071.022.061.806.670;32.388.545.374.509.800;2.120.847.660.360.480;7.192.098.788.711.760;5.405.567.222.899.750;1
Daqing;Heilongjiang;People's Republic of China;12.5;50;7.243.409.878.975.710;18.804.629.611.674.500;2.087.753.484.090.420;8.454.106.777.002.820;;37.764.934.393.235.600;16.357.374.578.188.200;716.271.361.043.703;4.466.935.915.288.810;1
Abastumani;Samtskhe-Javakheti;Georgia;62.5;50;6.164.480.227.353.410;18.905.875.636.653.300;27.312.168.384.699.200;6.822.156.741.058.110;3.199.515.925.585.790;5.228.013.984.753.650;13.502.579.602.183.200;53.696.202.309.432;4.834.023.096.246.110;1
Al Wakrah;;Qatar;1.428.571.429;25;9.160.997.540.099.470;24.138.309.709.563.900;28.170.885.101.366.200;6.819.603.096.244.560;26.257.204.204.579.400;5.684.205.678.843.350;8.120.978.574.739.460;4.825.957.163.667.530;3.542.527.792.591.820;1
Witbank;Mpumalanga;South Africa;16.25;984.375;5.277.875.568.290.580;1.667.330.067.528.860;18.404.050.688.632.700;4.777.124.262.366.930;;34.721.945.676.336.100;1.552.604.285.116.380;630.086.684.527.317;36.326.070.323.383.200;1
Boston;England;United Kingdom;62.5;25;39.757.526.579.292.900;13.589.197.804.598.000;17.430.841.944.394.400;6.305.787.650.533.410;37.348.642.498.835.000;3.443.989.116.142.880;1.562.431.028.823.650;6.837.096.810.997.380;36.668.237.989.669.800;1
Naga;;Philippines;70;45;5.685.216.462.878.770;154.570.002.031.332;1.762.804.305.899.480;6.664.443.788.811.870;39.009.473.084.486.100;32.442.777.201.529.000;1.735.258.560.884.430;6.740.730.004.769.040;4.066.156.997.388.840;1
Joplin;Missouri;United States of America;7.916.666.667;18.75;693.365.391.024.419;21.777.031.643.870.000;19.026.017.328.685.200;3.117.440.980.065.020;3.170.668.424.405.920;44.823.463.973.025.500;12.943.634.244.733.100;7.682.475.246.304.060;20.107.286.862.843.200;1
Bojnord;North Khorasan Province;Iran;0;50;7.464.485.186.199.680;22.700.001.923.094.600;26.559.360.897.148.500;5.657.812.133.049.570;3.006.906.506.646.380;3.320.688.250.650.000;16.052.837.638.293.400;28.682.951.795.375.700;38.805.760.174.542.000;1
Bahawalpur;;Pakistan;75;60;6.071.838.864.034.000;21.782.653.090.645.000;17.162.753.926.666.800;35.211.252.174.992.500;31.903.734.575.176.500;6.120.949.256.774.840;1.654.223.928.642.910;6.482.630.836.955.240;2.691.610.394.877.720;1
Vilvoorde;Flemish Region;Belgium;75;50;7.136.102.612.573.530;18.658.270.576.955.500;19.502.538.967.194.000;8.095.426.538.132.960;3.054.300.110.555.950;35.593.723.830.298.900;15.645.129.786.308.400;7.388.561.213.038.650;25.741.917.719.754.100;1
Gospic;Lika-Senj County;Croatia;100;0;;18.211.394.636.646.900;214.533.346.619.721;6.667.286.527.372.880;;3.924.333.770.325.460;15.464.582.061.695.900;60.046.065.200.156.600;5.036.017.097.278.320;1
Galle;Southern Province;Sri Lanka;75;37.5;6.328.553.081.263.280;19.207.651.510.196.600;3.331.594.708.164.380;7.050.046.536.157.850;;48.974.534.642.377.700;9.561.964.300.508.970;5.777.328.497.920.300;32.658.541.365.015.500;1
Sanya;Hainan;People's Republic of China;70;0;6.150.595.718.406.800;16.940.277.647.855.100;23.890.893.357.943.300;7.335.960.310.335.090;375.801.130.059.556;3.735.482.145.326.480;15.704.323.150.993.500;48.299.493.384.357.400;4.847.520.234.035.190;1
Siedlce;Masovian Voivodeship;Poland;4.642.857.143;50;;20.566.601.573.534.100;27.044.959.810.452.700;4.033.933.563.716.920;29.821.381.596.939.100;5.157.549.358.993.440;9.057.548.784.739.650;4.802.968.966.325.680;4.067.414.044.403.110;1
San Juan de Pasto;Narino Department;Colombia;70;75;5.508.155.525.691.390;19.222.654.632.014.500;12.137.099.596.717.800;5.230.477.275.898.350;43.302.150.609.743.800;40.548.550.993.708.500;8.512.225.338.929.790;549.151.301.435.605;4.571.406.411.209.010;1
Lancaster;Pennsylvania;United States of America;6.666.666.667;45;4.761.105.184.627.480;15.007.453.325.598.300;19.197.105.514.887.600;7.936.652.408.675.290;3.744.773.192.771.570;40.045.126.841.493.900;11.132.150.056.891.400;692.603.504.608.719;4.581.395.077.548.660;1
Pocatello;Idaho;United States of America;8.333.333.333;87.5;10.490.744.032.724.800;22.102.925.984.875.700;3.209.205.838.404.320;12.626.899.738.790.900;33.331.988.173.947.500;4.038.240.026.641.180;10.663.800.618.761.200;8.799.320.598.404.350;288.702.293.905.644;1
Bata;;Equatorial Guinea;25;25;6.676.137.319.471.850;19.268.584.914.715.600;27.468.980.170.109.000;5.809.435.938.892.810;2.814.068.712.268.330;2.998.869.966.292.300;1.223.760.793.370.860;4.606.921.286.058.600;433.664.848.480.327;1
Novo Hamburgo;Rio Grande do Sul;Brazil;87.5;0;7.973.307.535.065.090;23.749.715.254.150.000;2.351.768.101.141.070;5.354.516.204.932.810;28.358.383.431.065.600;47.889.361.567.912.200;15.259.597.501.184.600;53.671.478.492.413.600;2.826.111.940.669.660;1
Abingdon-on-Thames;England;United Kingdom;100;50;7.352.146.037.579.760;20.832.447.571.640.900;13.714.832.635.362.200;8.219.240.345.248.590;352.849.847.308.503;33.691.293.410.368.400;20.846.445.064.940.000;694.372.246.785.408;5.864.497.891.134.690;1
Kollam;Kerala;India;75;4.411.764.706;6.990.800.830.630.450;22.294.374.793.264.200;19.713.411.521.013.600;5.292.450.113.468.760;31.088.761.685.392.400;270.055.393.805.813;1.836.221.801.795.010;;43.326.398.719.810.600;1
Valkeakoski;;Finland;100;50;5.468.360.932.331.920;18.038.236.352.234.700;1.230.590.541.479.130;5.446.562.741.244.110;4.104.592.723.125.700;3.887.455.015.206.090;12.553.093.536.183.000;6.062.774.824.844.820;493.346.794.921.327;1
Rajshahi;Rajshahi Division;Bangladesh;4.722.222.222;30;78.359.069.892.020.200;206.665.788.118.744;1.764.340.714.703.860;8.137.483.668.926.910;;4.749.897.732.700.020;161.671.855.402.264;6.808.226.489.261.810;31.838.640.933.419.600;1
Brcko;Brcko District;Bosnia and Herzegovina;25;87.5;25.381.157.734.813.600;10.080.651.972.166.400;19.872.854.853.907.400;501.402.281.172.122;4.179.999.999.849.430;4.208.308.663.494.650;13.980.890.927.706.300;8.594.319.230.652.450;28.400.972.144.695.800;1
Simi Valley;California;United States of America;8.214.285.714;25;8.423.084.471.695.770;15.303.289.162.839.100;15.924.799.687.288.800;11.101.628.109.872.700;32.913.223.873.799.800;43.116.746.753.358.200;12.321.632.627.003.100;5.263.130.986.649.120;3.958.608.983.759.070;1
Fairfield;California;United States of America;87.5;37.5;7.617.014.108.815.560;21.440.436.270.637.000;29.818.095.042.113.300;6.508.853.439.206.950;29.835.185.018.045.000;49.494.553.706.024.900;13.310.223.689.668.000;7.004.800.688.840.390;3.800.552.599.356.120;1
Prijedor;Republika Srpska;Bosnia and Herzegovina;75;25;7.617.033.493.510.340;2.429.894.019.480.510;17.681.272.356.996.200;2.855.789.795.310.300;2.984.132.377.405.310;5.499.873.176.434.660;10.065.225.241.729.000;7.651.317.021.394.020;4.299.543.395.683.080;1
Guarapuava;Parana;Brazil;100;0;54.293.348.423.692.900;18.343.938.250.141.700;15.265.407.564.152.000;5.714.731.299.239.790;3.940.011.950.047.860;44.687.914.866.784.700;1.758.155.747.773.160;5.026.695.118.748.360;30.817.359.202.705.800;1
Bangor;Maine;United States of America;87.5;12.5;;21.549.160.601.037.400;1.848.965.250.509.370;3.758.833.181.507.520;29.460.303.753.204.900;37.027.462.103.283.100;6.530.428.639.650.090;6.810.002.373.951.820;458.215.729.826.292;1
Rockville;Maryland;United States of America;87.5;50;549.597.599.882.932;1.505.345.189.469.580;18.333.632.664.093.900;7.471.727.772.298.000;41.688.852.689.046.100;3.003.589.720.105.800;12.300.193.116.160.400;5.570.678.076.355.850;4.901.038.222.067.850;1
Mount Gambier;South Australia;Australia;8.333.333.333;0;5.092.757.238.606.060;23.974.091.609.522.500;28.390.891.358.276.300;13.908.709.048.851.800;2.584.442.941.492.110;45.230.604.162.154.300;13.837.351.933.671.300;7.151.205.256.741.270;4.636.728.696.472.330;1
Laramie;Wyoming;United States of America;100;0;62.528.102.107.865.000;18.756.947.914.835.700;2.769.047.478.403.690;6.489.931.491.506.640;33.094.920.988.301.500;3.034.963.734.270.560;14.261.368.981.645.200;5.795.282.564.495.720;29.217.973.892.390.800;1
Almada;Setubal;Portugal;8.571.428.571;50;6.747.415.283.032.470;25.041.955.457.077.300;24.539.713.164.600.500;239.798.498.956.576;3.582.298.656.394.830;3.393.447.400.756.490;15.357.289.804.704.600;5.999.077.026.906.540;337.745.052.375.287;1
Armenia;Quindio Department;Colombia;62.5;37.5;6.640.862.809.077.260;21.506.086.694.339.200;1.648.804.765.596.480;6.642.337.169.245.400;3.047.574.336.004.320;50.712.883.333.495.500;11.979.156.801.454.700;18.015.272.358.161.400;4.708.268.601.649.430;1
Okinawa;Okinawa Prefecture;Japan;8.055.555.556;40;;13.852.571.154.770.300;17.905.480.019.297.400;7.929.303.294.414.430;399.503.611.118.736;4.854.231.792.697.520;17.667.366.280.697.500;3.605.826.169.403.980;5.437.429.061.426.660;1
Nuevo Laredo;Tamaulipas State;Mexico;37.5;68.75;7.300.990.131.038.150;18.244.769.726.524.100;2.913.633.867.680.540;8.253.015.297.361.530;;3.074.333.027.094.600;8.730.149.176.517.380;4.989.534.185.518.720;4.596.347.340.478.690;1
Parkersburg;West Virginia;United States of America;0;100;54.985.146.932.294.800;1.808.251.137.620.230;21.542.830.032.429.400;670.709.459.234.911;35.225.071.130.398.900;41.951.295.764.923.800;13.183.431.560.483.800;689.043.702.218.294;30.748.154.278.369.800;1
Kalgoorlie;Western Australia;Australia;75;50;5.652.501.287.341.670;1.878.311.801.753.220;25.868.598.733.450.100;35.237.139.413.829.100;3.380.288.520.725.910;4.562.597.910.734.380;15.496.329.208.804.300;7.254.525.642.287.910;485.644.419.196.427;1
Kota;;India;3.020.833.333;484.375;61.649.272.929.056.100;2.060.405.843.179.250;2.280.561.150.481.360;4.398.831.270.461.070;;4.093.576.794.213.860;16.895.725.085.815.400;6.172.587.636.676.710;4.169.660.977.577.570;1
Muradabad;Uttar Pradesh;India;37.5;43.75;78.519.256.917.911.400;23.533.831.153.028.900;14.763.580.113.201.500;7.741.975.288.974.790;3.386.033.223.770.300;5.056.656.389.109.510;11.863.370.355.222.700;4.959.838.149.651.440;52.040.441.779.297.500;1
Dimitrovgrad;Haskovo Province;Bulgaria;12.5;50;7.221.689.439.703.990;20.306.902.862.030.700;1.370.322.037.683.130;7.823.612.288.977.230;3.521.245.674.695.830;41.232.048.977.970.400;16.125.741.249.657.300;8.005.887.717.164.550;3.160.818.481.426.780;1
Amol;Mazandaran Province;Iran;100;75;6.578.083.890.884.720;21.414.633.423.290.300;2.488.262.516.349.480;5.071.156.812.647.590;;4.007.431.603.309.840;14.018.056.253.486.400;5.884.190.603.188.180;4.890.415.758.942.130;1
Fayetteville;North Carolina;United States of America;7.708.333.333;6.666.666.667;7.859.489.939.100.050;21.131.102.858.658.800;3.172.548.776.569.770;7.519.690.678.297.840;31.334.419.794.784.200;43.344.466.522.982.500;15.909.471.399.126.000;;4.498.069.165.936.720;1
Velika Gorica;Zagreb County;Croatia;25;50;6.073.684.981.465.110;14.092.619.551.286.800;1.179.531.357.950.970;912.842.211.372.743;4.376.471.625.321.790;4.130.758.196.231.530;14.934.849.528.287.700;4.801.896.619.957.520;5.249.069.810.806.520;1
Schenectady;New York;United States of America;50;50;;20.825.628.348.086.000;13.696.009.916.766.900;4.484.021.278.259.180;;4.491.780.609.772.640;21.305.197.096.159.900;760.397.875.481.668;38.501.348.891.737.100;1
Albury;New South Wales;Australia;95;8.333.333.333;64.079.633.358.080.400;19.913.172.601.085.900;28.460.203.396.912.400;4.613.721.483.792.880;3.309.140.756.150.510;4.488.580.061.697.350;11.656.913.102.069.400;7.016.183.916.904.710;2.954.092.652.381.750;1
Heze;Shandong;People's Republic of China;0;50;8.646.642.950.300.480;201.439.064.518.998;3.257.105.451.770.550;995.935.541.759.408;;3.384.978.145.035.630;13.261.537.968.825.500;6.622.939.447.615.560;33.332.426.816.293.900;1
Maracay;Aragua;Venezuela;25;100;71.846.977.625.084.100;1.897.583.964.307.930;13.317.468.112.041.400;7.832.320.390.412.840;37.867.545.609.846.800;5.413.060.966.740.780;12.492.178.514.273.800;4.169.618.315.433.910;3.904.063.423.060.470;1
Vila Velha;Espirito Santo;Brazil;3.333.333.333;4.166.666.667;6.932.085.030.049.920;2.053.384.821.943.810;19.530.473.819.160.500;6.521.955.498.450.170;;4.752.102.158.874.220;15.673.883.024.056.800;539.558.663.301.533;4.433.285.887.697.200;1
Quetzaltenango;Quetzaltenango Department;Guatemala;2.916.666.667;75;6.174.750.579.100.350;13.851.358.802.644.400;21.504.138.820.970.300;10.860.294.995.090.300;3.387.030.157.200.020;44.780.546.453.786.300;14.241.965.197.367.100;31.705.933.099.963.800;25.660.487.883.616.800;1
Newport News;Virginia;United States of America;6.666.666.667;62.5;9.540.252.240.007.290;2.240.545.823.004.420;3.168.386.459.332.760;11.994.290.224.518.000;31.535.908.503.766.100;49.383.637.899.978.100;19.093.599.143.799.900;8.139.372.182.255.680;33.295.038.991.199.000;1
Popayan;Cauca Department;Colombia;100;25;6.888.842.932.366.850;18.892.067.056.633.800;27.368.014.339.003.000;8.003.186.613.087.140;3.554.785.627.273.720;4.653.469.791.339.460;12.377.083.309.545.400;751.124.935.430.051;4.512.332.449.397.930;1
Salto;Salto Department;Uruguay;100;25;8.174.186.267.047.550;24.424.904.583.770.400;31.114.820.836.331.000;47.269.122.862.033.400;28.533.202.575.840.400;4.186.196.000.757.640;14.873.626.230.668.100;5.646.415.749.086.560;4.709.402.884.560.940;1
Lienz;Tyrol;Austria;100;50;8.756.926.859.235.550;2.186.377.589.226.710;21.752.029.713.266.700;6.454.876.484.142.460;27.627.810.018.907.600;3.560.757.688.500.760;15.713.148.515.942.600;6.704.963.886.204.500;29.456.717.268.238.700;1
Cuprija;Pomoravlje District;Serbia;59.375;65.625;4.740.056.688.020.880;17.665.563.127.690.400;2.406.933.591.470.410;4.013.444.409.697.540;3.678.050.161.117.910;28.822.129.764.576.100;13.204.220.028.919.600;7.788.037.549.676.680;5.467.935.706.130.960;1
Qena;Qena Governorate;Egypt;50;25;8.764.495.619.256.660;2.108.513.459.745.630;15.978.036.559.255.000;8.043.354.126.979.010;3.287.598.439.625.310;32.404.737.549.460.800;1.212.837.684.424.490;59.789.162.696.881.300;5.790.838.006.076.010;1
Inuvik;Northwest Territories;Canada;87.5;50;7.899.451.562.181.430;21.073.412.392.000.000;15.896.365.936.521.300;6.907.202.815.535.570;31.988.695.656.532.900;44.866.642.331.163.200;1.816.992.114.456.360;124.0;28.537.673.494.417.200;1
Batna;Batna Province;Algeria;100;25;7.402.653.150.168.770;18.299.938.135.370.800;19.259.193.936.622.900;7.632.370.159.509.790;2.959.313.733.055.270;339.737.304.406.264;10.494.609.208.952.900;8.311.874.196.607.190;62.265.804.048.163.900;1
Holland;Indiana;United States of America;75;75;58.000.341.769.897.000;18.145.351.497.805.100;13.028.688.458.382.600;6.106.764.784.339.330;3.743.577.838.863.680;40.551.721.995.697.000;15.773.825.346.236.400;35.338.133.489.497.200;40.744.075.716.550.900;1
Launceston;Tasmania;Australia;68.75;50;70.891.841.872.037.500;1.790.458.380.971.530;21.065.663.658.448.100;7.471.614.406.460.980;3.777.780.241.371.510;5.715.755.052.527.220;12.623.104.290.428.200;8.524.117.891.866.930;32.660.285.121.463.900;1
Caslav;;Czech Republic;100;0;7.852.206.664.016.240;16.902.837.864.959.100;2.291.218.957.899.360;9.616.222.696.805.110;;46.844.539.618.047.600;12.601.121.571.663.400;8.062.515.954.650.630;35.324.376.192.277.300;1
Shuangyashan;Heilongjiang;People's Republic of China;12.5;50;4.945.694.700.087.740;17.044.092.056.220.300;23.000.723.137.395.900;4.433.724.763.106.100;34.064.566.954.904.600;34.664.226.740.627.900;1.327.663.803.814.320;8.455.108.086.505.830;3.782.517.460.306.920;1
Adelanto;California;United States of America;50;50;977.693.205.003.625;21.391.507.967.662.000;2.397.198.951.891.510;9.603.302.351.309.980;29.382.500.782.761.800;50.701.657.279.777.800;16.066.560.898.475.000;828.609.362.267.154;2.569.468.001.273.410;1
Wuhu;Anhui;People's Republic of China;0;50;5.153.488.640.267.040;10.734.198.187.869.000;19.115.721.861.106.600;9.296.114.014.313.560;33.306.193.936.684.100;4.578.915.324.638.530;174.456.560.597.402;7.759.880.400.118.680;37.499.205.645.305.200;1
Huainan;Anhui;People's Republic of China;0;50;6.884.981.084.419.800;13.844.011.074.446.000;14.893.206.395.811.900;968.643.479.820.874;31.913.499.052.518.400;28.692.155.809.604.800;14.184.036.095.168.600;5.455.907.655.025.760;4.584.319.179.768.510;1
Anqing;Anhui;People's Republic of China;0;50;7.608.750.191.252.160;1.928.566.437.225.390;2.541.081.187.155.730;5.955.008.397.109.830;28.380.296.707.764.200;43.220.954.474.972.600;12.796.347.357.203.500;8.110.379.180.040.260;4.627.464.223.238.910;1
Fuyang;Anhui;People's Republic of China;0;50;;2.100.976.079.447.890;23.616.804.622.627.700;4.465.676.959.639.830;3.659.612.577.826.810;42.187.985.373.320.000;14.536.852.253.337.300;7.615.710.336.899.180;2.290.411.119.725.520;1
Lu'an;Anhui;People's Republic of China;0;50;4.901.906.856.012.030;14.193.078.127.421.800;13.614.750.925.469.400;8.306.960.457.626.590;3.686.186.875.689.660;43.905.535.618.517.300;9.921.623.325.469.790;826.601.649.179.758;4.103.534.274.020.020;1
Bozhou;Anhui;People's Republic of China;0;50;5.711.212.506.317.290;14.582.586.873.102.000;21.157.179.728.977.700;7.954.721.153.303.780;3.852.060.973.762.990;4.410.865.632.549.940;16.682.024.549.834.800;704.708.890.707.142;39.533.349.669.675.400;1
Xuancheng;Anhui;People's Republic of China;0;50;7.476.689.511.613.980;16.200.870.309.518.500;2.217.131.889.817.710;961.159.855.831.238;;4.012.348.151.822.700;14.993.740.060.714.500;8.286.176.424.061.140;4.195.539.286.347.100;1
Ganzhou;Jiangxi;People's Republic of China;0;50;7.033.495.055.020.290;19.188.021.660.306.500;2.932.274.069.720.300;90.270.569.832.952;;49.619.829.935.717.900;17.191.646.209.724.400;428.646.821.456.061;3.678.957.092.279.020;1
Fuzhou;Jiangxi;People's Republic of China;50;25;;1.525.374.183.742.450;19.731.749.181.312.400;10.886.741.890.515.400;3.739.887.141.206.790;4.637.476.806.193.580;15.534.903.877.923.600;6.115.128.982.958.530;5.294.159.073.122.180;1
Shangrao;Jiangxi;People's Republic of China;0;50;;18.900.108.610.224.800;2.078.456.786.015.560;10.088.771.481.178.300;31.295.469.455.514.300;4.195.341.329.799.160;14.801.684.067.824.900;6.253.507.088.571.920;5.149.542.443.249.870;1
Goldsboro;North Carolina;United States of America;60;100;8.655.298.873.146.690;22.226.879.349.353.900;13.676.753.524.467.400;72.712.994.666.693.400;348.618.844.341.726;4.608.706.469.496.650;18.016.760.314.276.000;7.242.820.504.429.650;4.588.758.377.714.620;1
Chester;Pennsylvania;United States of America;87.5;50;;17.720.201.029.701.600;17.766.252.888.023.900;8.199.090.412.094.730;354.277.369.736.677;5.202.011.294.285.240;15.099.588.003.763.300;6.297.199.489.122.550;3.168.031.026.202.650;1
Medicine Hat;Alberta;Canada;87.5;34.375;83.043.346.530.985;1.555.699.415.418.780;1.825.318.109.546.360;11.448.469.328.247.100;32.910.063.595.527.800;3.803.234.401.601.910;13.755.926.276.257.500;3.505.703.049.389.060;4.181.254.134.458.120;1
Jindrichuv Hradec;;Czech Republic;100;25;7.717.076.952.182.750;21.168.132.717.914.600;21.400.016.496.453.600;6.987.854.135.150.090;26.894.495.696.809.800;4.959.149.193.452.200;11.440.746.502.455.900;8.505.154.574.919.000;4.967.975.792.277.650;1
Athlone;Leinster;Ireland;80;25;7.555.822.759.422.740;1.904.619.172.664.930;29.411.628.645.120.200;786.887.830.943.357;34.994.894.140.528.900;5.244.659.994.857.770;1.940.814.391.395.930;795.555.931.048.464;4.099.168.690.603.560;1
El Cajon;California;United States of America;50;25;4.881.729.593.763.430;1.369.904.663.122.230;1.910.501.490.287.320;7.264.677.555.112.610;4.197.164.116.688.440;3.580.463.181.713.940;13.399.391.832.641.500;7.593.405.218.190.160;305.019.758.470.709;1
George;Western Cape;South Africa;93.75;12.5;8.311.271.181.077.600;20.610.775.844.471.100;20.562.513.390.890.800;9.820.473.297.478.560;;47.903.232.034.037.800;21.741.143.601.125.200;8.001.264.402.000.060;44.620.457.379.771.800;1
Dahab;South Sinai Governorate;Egypt;100;5.833.333.333;3.800.431.282.307.120;1.112.464.115.966.340;14.904.940.386.800.100;7.729.645.331.792.210;41.855.934.698.147.900;38.222.437.008.112.600;1.587.222.132.626.640;;4.473.976.075.064.170;1
Pembroke Pines;Florida;United States of America;100;75;4.083.594.880.123.220;20.193.864.337.485.600;20.555.965.488.803.100;19.202.714.492.542.700;3.415.971.527.449.920;43.551.152.904.315.800;12.226.676.003.135.800;6.928.977.861.137.750;2.974.870.902.771.940;1
Slapanice;;Czech Republic;87.5;37.5;;20.157.204.599.380.500;15.618.135.242.204.100;67.052.108.779.967.500;36.719.345.682.779.500;3.599.520.067.091.980;10.940.974.529.417.800;2.491.497.120.838.550;4.575.874.147.599.670;1
Adrian;Georgia;United States of America;8.333.333.333;87.5;4.865.069.696.444.600;17.406.045.651.903.900;15.222.246.443.946.500;5.839.218.684.966.120;41.203.712.025.958.600;3.335.043.273.962.230;15.266.615.138.260.100;6.892.635.259.554.590;3.974.972.302.235.220;1
Dongying;Shandong;People's Republic of China;0;50;962.472.688.627.138;21.737.277.968.545.800;2.517.575.415.819.410;9.883.945.511.518.230;32.917.445.409.836.000;394.054.835.252.827;2.027.757.140.763.040;8.584.025.770.348.190;2.615.257.476.344.290;1
Escondido;California;United States of America;75;12.5;5.188.776.875.456.330;17.899.326.880.344.600;22.648.237.552.796.900;6.318.063.039.015.580;3.264.678.979.014.820;40.456.112.927.225.100;18.840.383.484.114.600;8.991.443.807.938.470;37.695.039.072.256.000;1
Farmville;North Carolina;United States of America;75;25;7.842.979.001.264.930;20.082.967.424.192.700;16.827.192.866.686.600;9.888.402.990.581.010;;5.663.307.047.973.910;137.912.447.006.168;46.662.407.323.733.200;5.109.312.362.176.540;1
Raipur;Chhattisgarh;India;1.509.433.962;6.861.702.128;5.916.930.488.243.060;18.592.502.114.782.100;27.977.673.208.238.400;67.746.097.430.471.600;3.296.193.364.555.090;4.288.327.463.475.260;20.638.075.559.832.000;707.954.955.109.489;31.575.595.204.469.100;1
Jining;Shandong;People's Republic of China;0;50;5.729.689.120.388.070;17.397.502.714.980.100;14.304.763.082.849.500;534.008.845.320.107;369.153.970.035.339;47.167.990.142.055.000;16.424.227.242.335.000;581.576.875.097.454;5.100.552.354.171.280;1
Tavira;;Portugal;100;0;56.782.209.670.592.100;14.318.650.765.307.500;18.377.008.261.408.600;7.145.335.458.433.940;4.182.472.281.011.370;3.597.747.111.404.610;18.714.478.079.208.100;774.476.391.684.988;5.429.781.739.947.600;1
Sines;Setubal;Portugal;75;50;7.386.581.819.694.890;19.158.556.548.067.900;26.351.903.773.837.800;8.426.161.103.930.910;;5.051.879.288.260.660;18.925.674.192.697.500;7.264.961.369.720.960;37.913.725.882.785.300;1
Weihai;Shandong;People's Republic of China;12.5;50;7.519.227.463.461.570;2.103.847.903.786.540;16.897.307.040.908.700;6.568.657.940.815.900;34.470.367.330.852.300;3.155.204.353.314.490;1.985.618.427.037.360;;32.757.249.591.599.700;1
Zywiec;Silesian Voivodeship;Poland;50;50;7.446.225.785.014.980;24.157.386.212.826.100;13.312.446.107.003.300;4.532.979.039.049.270;;5.294.590.745.941.810;1.723.787.068.676.600;62.522.183.491.970.900;50.866.985.617.202.800;1
Rizhao;Shandong;People's Republic of China;1.071.428.571;37.5;7.753.936.117.609.160;22.009.827.877.045.100;17.169.584.382.234.200;798.403.919.630.692;3.441.218.987.043.600;3.850.450.025.893.610;16.848.511.672.256.200;470.033.216.991.352;4.833.026.694.103.550;1
Taytay;;Philippines;0;100;9.159.660.476.654.180;19.542.331.583.541.100;1.667.933.516.427.070;10.110.462.228.022.300;30.174.641.058.136.900;4.046.591.026.534.680;5.196.716.755.320.660;5.546.675.876.416.360;5.452.362.325.257.570;1
Linyi;Shandong;People's Republic of China;4.166.666.667;87.5;7.496.990.927.216.010;2.468.635.806.273.190;2.263.165.772.706.920;34.408.801.236.025.700;2.971.324.489.170.620;35.749.845.925.493.800;16.141.285.902.475.700;7.970.553.048.606.500;3.837.926.004.293.750;1
Liaocheng;Shandong;People's Republic of China;0;50;7.542.300.167.142.750;2.301.505.401.471.870;18.877.493.895.411.500;4.344.706.917.833.360;2.782.504.358.790.870;4.472.593.533.112.460;17.555.577.849.335.200;5.334.168.163.450.430;4.317.553.511.769.740;1
Binzhou;Shandong;People's Republic of China;0;50;7.159.052.990.497.450;16.147.871.035.811.900;25.591.840.984.167.500;1.018.952.799.658.630;36.759.639.651.851.200;3.305.504.526.671.390;1.544.784.172.788.620;5.118.831.726.937.310;4.291.668.966.809.950;1
Castelo Branco;Castelo Branco;Portugal;100;0;;11.690.547.929.864.100;2.715.131.290.232.540;10.185.348.221.604.000;;3.720.023.185.483.470;1.350.723.191.973.180;6.327.369.649.272.610;35.162.378.046.280.000;1
Albufeira;;Portugal;7.142.857.143;3.333.333.333;5.844.673.795.577.300;14.717.980.377.255.300;13.615.109.758.022.000;8.881.111.781.915.250;3.946.583.799.124.420;5.330.402.104.156.280;14.217.372.572.687.500;9.161.403.063.724.130;43.380.560.876.593.500;1
Jeddah;Mecca Province;Saudi Arabia;3.524.096.386;5.443.037.975;;20.182.784.846.535.800;3.541.873.503.990.260;8.255.971.090.425.940;25.358.023.448.561.800;4.472.813.960.938.390;15.604.459.784.722.600;4.549.211.139.335.180;33.846.485.053.932.100;1
Folkestone;England;United Kingdom;75;50;5.258.414.736.632.190;21.092.949.494.906.900;29.228.334.683.492.800;3.833.901.836.565.740;3.416.406.947.178.430;3.635.707.948.586.590;18.065.015.046.762.000;3.615.210.329.459.930;37.307.927.875.940.000;1
Gouyave;Saint John Parish;Grenada;50;75;7.420.640.789.488.350;21.273.558.531.696.700;1.846.372.212.677.620;6.727.918.856.969.920;3.559.714.951.598.640;5.236.027.139.514.790;12.086.675.305.338.800;44.980.101.795.335.500;5.423.767.330.031.320;1
Valasske Mezirici;;Czech Republic;50;100;7.074.251.443.801.100;2.089.203.689.453.250;16.739.266.635.207.700;7.861.469.473.377.640;;5.189.771.529.514.920;8.881.999.343.581.860;7.841.901.892.925.160;48.789.441.157.900.000;1
Valledupar;Cesar Department;Colombia;50;50;8.189.213.850.977.870;15.632.846.478.012.000;18.432.476.518.039.200;12.246.394.097.769.500;370.121.384.654.358;2.883.514.710.571.780;11.871.899.812.522.200;7.976.584.121.349.570;37.095.088.780.387.800;1
Nove Mesto nad Vahom;Trencin Region;Slovakia;50;50;7.744.130.993.509.200;1.855.676.184.157.630;30.586.592.663.308.200;804.076.015.860.187;;31.442.583.386.967.400;1.713.236.900.538.560;5.987.160.947.492.030;5.207.683.455.238.740;1
